Date,Dividends
2003-11-25,0.040000
2004-02-25,0.040000
2004-05-26,0.060000
2004-08-25,0.060000
2004-12-01,0.060000
2005-02-23,0.060000
2005-05-25,0.100000
2005-08-24,0.100000
2005-11-22,0.100000
2006-02-22,0.120000
2006-05-24,0.160000
2006-08-23,0.160000
2006-11-21,0.160000
2007-03-07,0.180000
2007-05-30,0.180000
2007-08-29,0.180000
2007-12-05,0.180000
2008-03-05,0.180000
2008-05-28,0.200000
2008-08-27,0.200000
2008-12-03,0.200000
2009-03-04,0.200000
2009-05-27,0.200000
2009-08-25,0.200000
2009-12-02,0.200000
2010-03-03,0.200000
2010-05-26,0.220000
2010-08-25,0.220000
2010-12-01,0.220000
2011-03-02,0.220000
2011-05-25,0.250000
2011-08-24,0.250000
2011-11-30,0.250000
2012-03-07,0.300000
2012-05-30,0.300000
2012-08-29,0.300000
2012-12-05,0.300000
2013-02-27,0.340000
2013-05-29,0.340000
2013-08-28,0.340000
2013-12-04,0.340000
2014-02-26,0.370000
2014-05-28,0.370000
2014-09-03,0.370000
2014-12-03,0.370000
2015-02-25,0.400000
2015-05-27,0.400000
2015-08-26,0.400000
2015-12-02,0.400000
2016-02-24,0.420000
2016-05-25,0.420000
2016-08-24,0.420000
2016-11-30,0.420000
2017-02-22,0.450000
2017-06-07,0.450000
2017-09-07,0.450000
2017-11-30,0.450000
2018-03-08,0.480000
2018-06-07,0.480000
2018-08-30,0.480000
2018-11-28,0.480000
2019-02-28,0.540000
2019-05-30,0.540000
2019-08-29,0.540000
2019-12-05,0.540000
2020-02-27,0.620000
2020-05-28,0.620000
2020-08-27,0.620000
2020-12-03,0.620000
2021-02-25,0.690000
2021-05-27,0.690000
2021-08-26,0.690000
2021-12-02,0.690000
2022-02-24,0.760000
2022-05-27,0.760000
2022-08-29,0.760000
2022-12-02,0.760000
2023-02-24,0.860000
2023-06-02,0.860000
